wish
Hope you have a fantastic day.
Enjoy it!
Hope your birthday is just the beginning of a year full of happiness!
Have a marvelous day!
You may grow a year old every year but I hope your spirit remains youthful.
Today is a gift of life today is your birthday.
Here's hoping that you have the most wonderful birthday ever.
Have a wonderful day and fabulous year.
May this year be the best of your life until the next one.
I hope you have meaningful and fulfilled day!
Not just a year older but a year better.
One year older and a whole lot wiser.
May God bless you.
Best wishes to you.
May the best come to you!
